CourseNumber,Dept,YearTerm,Title,ACP,CS,HUM,NAT,QR,SBS
NRES,100,2019-fa,Fundamentals of Env Sci,,,,PS,,
NRES,103,2019-fa,The Great Lakes - Freshwater Wonder at Risk,,,,LS,,
NRES,202,2019-fa,American Environmental History,,WCC,HP,,,
NRES,210,2019-fa,Environmental Economics,,,,,,SS
NRES,220,2019-fa,Communicating Agriculture,ACP,,,,,
NRES,223,2019-fa,Watching the Environment,,,,,,SS
NRES,242,2019-fa,Nature and American Culture,,WCC,,,,
NRES,270,2019-fa,Applied Entomology,,,,LS,,
NRES,287,2019-fa,Environment and Society,,WCC,,,,SS
NRES,419,2019-fa,Env and Plant Ecosystems,ACP,,,,,
NS,120,2019-fa,Intro to US Armed Forces,,,HP,,,
PHIL,100,2019-fa,Intro to Philosophy-ACP,ACP,,HP,,,
PHIL,101,2019-fa,Introduction to Philosophy,,,HP,,,
PHIL,102,2019-fa,Logic and Reasoning,,,HP,,,
PHIL,103,2019-fa,Logic and Reasoning QR II,,,HP,,QR2,
PHIL,104,2019-fa,Intro to Ethics-ACP,ACP,,HP,,,
PHIL,105,2019-fa,Introduction to Ethics,,,HP,,,
PHIL,106,2019-fa,Ethics and Social Policy,,,,,,SS
PHIL,107,2019-fa,Intro to Political Philosophy,,,,,,SS
PHIL,108,2019-fa,Religion & Society in West I,,WCC,HP,,,
PHIL,109,2019-fa,Religion & Society in West II,,WCC,HP,,,
PHIL,110,2019-fa,World Religions,,NW,HP,,,
PHIL,201,2019-fa,Philosophy in Literature,,,HP,,,
PHIL,202,2019-fa,Symbolic Logic,,,,,QR1,
PHIL,203,2019-fa,Ancient Philosophy,,,HP,,,
PHIL,206,2019-fa,Early Modern Philosophy,,,HP,,,
PHIL,210,2019-fa,Ethics,,,HP,,,
PHIL,214,2019-fa,Biomedical Ethics,,,HP,,,
PHIL,230,2019-fa,Philosophy of Religion Intro,,,HP,,,
PHIL,231,2019-fa,Religion and Philosophy,,,HP,,,
PHIL,250,2019-fa,Conceptions of Human Nature,,,HP,,,
PHIL,270,2019-fa,Philosophy of Science,,,HP,,,
PHIL,316,2019-fa,Ethics and Engineering,ACP,,HP,,,
PHIL,419,2019-fa,"Space, Time, and Matter-ACP",ACP,,,,,
PHIL,453,2019-fa,Formal Logic and Philosophy,,,,,QR2,
PHIL,454,2019-fa,Advanced Symbolic Logic,,,,,QR2,
PHYS,101,2019-fa,College Physics: Mech & Heat,,,,PS,QR2,
PHYS,102,2019-fa,College Physics: E&M & Modern,,,,PS,QR2,
PHYS,123,2019-fa,Physics Made Easy,,,,PS,,
PHYS,140,2019-fa,How Things Work,,,,PS,QR2,
PHYS,150,2019-fa,Physics of Societal Issues,,,,PS,QR2,
PHYS,211,2019-fa,University Physics: Mechanics,,,,PS,QR2,
PHYS,212,2019-fa,University Physics: Elec & Mag,,,,PS,QR2,
PHYS,213,2019-fa,Univ Physics: Thermal Physics,,,,PS,QR2,
PHYS,214,2019-fa,Univ Physics: Quantum Physics,,,,PS,QR2,
PHYS,280,2019-fa,Nuclear Weapons & Arms Control,ACP,,,,,
PHYS,419,2019-fa,"Space, Time, and Matter-ACP",ACP,,,,,
PHYS,496,2019-fa,Intro to Physics Research,ACP,,,,,
PLPA,200,2019-fa,"Plants, Pathogens, and People",ACP,,,LS,,
PLPA,204,2019-fa,Introductory Plant Pathology,,,,LS,,
POL,115,2019-fa,Intro to Polish Culture,,WCC,LA,,,
PS,100,2019-fa,Intro to Political Science,,,,,,SS
PS,101,2019-fa,Intro to US Gov & Pol,,,,,,SS
PS,152,2019-fa,The New Middle East,,NW,,,,SS
PS,201,2019-fa,US Racial & Ethnic Politics,,US,,,,SS
PS,224,2019-fa,Politics of the National Parks,,,,,,SS
PS,225,2019-fa,Environmental Politics & Policy,,,,,,SS
PS,240,2019-fa,Intro to Comp Politics,,,,,,SS
PS,241,2019-fa,Comp Politics in Dev Nations,,NW,,,,SS
PS,242,2019-fa,Introduction to Modern Africa,,NW,,,,
PS,243,2019-fa,Pan Africanism,,NW,,,,SS
PS,270,2019-fa,Intro to Political Theory,,,HP,,,
PS,273,2019-fa,Environment and Society,,WCC,,,,SS
PS,280,2019-fa,Intro to Intl Relations,,,,,,SS
PS,281,2019-fa,Intro to Intl Relations-ACP,ACP,,,,,SS
PS,282,2019-fa,Governing Globalization,ACP,,,,,SS
PS,357,2019-fa,Ethnic Conflict,ACP,,,,,
PSYC,100,2019-fa,Intro Psych,,,,,,BSC
PSYC,103,2019-fa,Intro Experimental Psych,,,,,,BSC
PSYC,201,2019-fa,Intro to Social Psych,,,,,,BSC
PSYC,207,2019-fa,Psychology of Prejudice and Discrimination,,,,,,BSC
PSYC,210,2019-fa,Behavioral Neuroscience,,,,LS,,
PSYC,230,2019-fa,Perception & Sensory Processes,,,,,,BSC
PSYC,235,2019-fa,Intro to Statistics,,,,,QR1,
PSYC,239,2019-fa,Community Psych,,,,,,SS
PSYC,301,2019-fa,Psychological Statistics,,,,,QR1,
PSYC,322,2019-fa,Introduction to Intellectual Disability,,,,,,BSC
PSYC,498,2019-fa,Senior Honors Seminar,ACP,,,,,
PSYC,499,2019-fa,Senior Honors Seminar II,ACP,,,,,
REES,115,2019-fa,Intro to Polish Culture,,WCC,LA,,,
REES,116,2019-fa,Intro to Russian Culture,,WCC,LA,,,
REES,200,2019-fa,Intro to Russia and Eurasia,,,,,,SS
REES,201,2019-fa,Introduction to Eastern Europe,,,,,,SS
REHB,322,2019-fa,Introduction to Intellectual Disability,,,,,,BSC
REHB,330,2019-fa,Disability in American Society,,,,,,SS
REL,101,2019-fa,Bible as Literature,,,LA,,,
REL,104,2019-fa,Asian Mythology,,NW,HP,,,
REL,106,2019-fa,Archaeology and the Bible,ACP,,HP,,,
REL,108,2019-fa,Religion & Society in West I,,WCC,HP,,,
REL,109,2019-fa,Religion & Society in West II,,WCC,HP,,,
REL,110,2019-fa,World Religions,,NW,HP,,,
REL,115,2019-fa,Language and Culture in India,,NW,,,,
REL,116,2019-fa,Faith & Self in Global Context,,WCC,,,,
REL,120,2019-fa,A History of Judaism,ACP,,HP,,,
REL,121,2019-fa,Introduction to Christianity,,,HP,,,
REL,122,2019-fa,History East Asian Religions,,NW,HP,,,
REL,132,2019-fa,Zen,,NW,HP,,,
REL,160,2019-fa,Ancient Greek & Roman Religion,,WCC,HP,,,
REL,201,2019-fa,Hebrew Bible in English,,,HP,,,
REL,208,2019-fa,Cultures & Literatures of South Asia,,NW,LA,,,
REL,212,2019-fa,History of Antisemitism,,WCC,HP,,,
REL,213,2019-fa,Intro to Islam - ACP,ACP,NW,HP,,,
REL,214,2019-fa,Introduction to Islam,,NW,HP,,,
REL,215,2019-fa,African Muslim Societies,,NW,HP,,,
REL,220,2019-fa,Jewish Storytelling,,WCC,LA,,,
REL,223,2019-fa,The Qur'an (Koran),,NW,LA,,,
REL,224,2019-fa,Chinese Thought and Culture,,NW,HP,,,
REL,230,2019-fa,Philosophy of Religion Intro,,,HP,,,
REL,231,2019-fa,Religion and Philosophy,,,HP,,,
REL,235,2019-fa,History of Religion in America,,,HP,,,
REL,236,2019-fa,"Religion, Violence & America",,WCC,,,,
REL,251,2019-fa,Viking Mythology,,WCC,HP,,,
REL,258,2019-fa,Muslims in America,,US,,,,SS
REL,260,2019-fa,Mystics and Saints in Islam,,NW,LA,,,
REL,269,2019-fa,Jewish History Since 1700,,WCC,HP,,,
REL,270,2019-fa,"Religion, Ethics, Environment",,WCC,HP,,,
REL,283,2019-fa,Jewish Sacred Literature,,,LA,,,
REL,284,2019-fa,Modern Jewish Literature,,,LA,,,
REL,286,2019-fa,Introduction to Hinduism,,NW,HP,,,
REL,287,2019-fa,Introduction to Buddhism,,NW,HP,,,
REL,320,2019-fa,Lit Responses to the Holocaust,,WCC,LA,,,
REL,393,2019-fa,The World of Jewish Sepharad,,WCC,HP,,,
RHET,233,2019-fa,Adv Rhetoric & Composition,ACP,,,,,
RSOC,110,2019-fa,Intro to Rural Society,,,,,,SS
RSOC,270,2019-fa,Global Demography,,,,,,SS
RST,100,2019-fa,"Recreation, Sport, and Tourism in Modern Society",,,,,,SS
RST,120,2019-fa,"Parks, Recreation, and Environments",,,,,,BSC
RST,224,2019-fa,Politics of the National Parks,,,,,,SS
RST,225,2019-fa,Environmental Politics & Policy,,,,,,SS
RST,230,2019-fa,"Diversity in Recreation, Sport, and Tourism",,US,,,,
RST,242,2019-fa,Nature and American Culture,,WCC,,,,
RST,335,2019-fa,Leisure and Consumer Culture,,WCC,,,,SS
RST,370,2019-fa,Research Methods & Analysis,,,,,QR2,
RST,410,2019-fa,"Strategic Thinking in Recreation, Sport and Tourism",ACP,,,,,
RUSS,115,2019-fa,Intro to Russian Culture,,WCC,LA,,,
RUSS,220,2019-fa,Golden Age of Russian Lit,,,LA,,,
RUSS,225,2019-fa,Russian Lit and Revolution,,,LA,,,
RUSS,260,2019-fa,Medicine & Russian Literature,,,LA,,,
RUSS,261,2019-fa,Intro Russian-Jewish Culture,,WCC,HP,,,
SAME,150,2019-fa,Lang&Culture of Arab World,,NW,,,,
SAME,152,2019-fa,The New Middle East,,NW,,,,SS
SAME,208,2019-fa,Cultures & Literatures of South Asia,,NW,LA,,,
SAME,212,2019-fa,Israeli Cinema and Television,,WCC,LA,,,
SAME,213,2019-fa,Intro to Islam - ACP,ACP,NW,HP,,,
SAME,214,2019-fa,Introduction to Islam,,NW,HP,,,
SAME,223,2019-fa,The Qur'an (Koran),,NW,LA,,,
SAME,260,2019-fa,Mystics and Saints in Islam,,NW,LA,,,
SAME,272,2019-fa,Language and Culture in Turkey,,NW,,,,
SCAN,215,2019-fa,"Madness, Myth, and Murder",,,LA,,,
SCAN,225,2019-fa,Vikings to Volvos: Scandinavia,,WCC,LA,,,
SCAN,251,2019-fa,Viking Mythology,,WCC,HP,,,
SCAN,252,2019-fa,Viking Sagas in Translation,,WCC,LA,,,
SE,494,2019-fa,Senior Engineering Project I,ACP,,,,,
SE,495,2019-fa,Senior Engineering Project II,ACP,,,,,
SHS,120,2019-fa,"Child, Comm, & Lang Ability",,,,,,BSC
SHS,222,2019-fa,Language & Culture of Deaf Communities,,US,,,,SS
SHS,231,2019-fa,Lang Diff Dis: American Persp,,US,,,,
SHS,270,2019-fa,Comm Disability in the Media,ACP,,,,,SS
SHS,271,2019-fa,Communication and Aging,,,,,,SS
SLAV,117,2019-fa,Russ & E Euro Science Fiction,,,LA,,,
SLAV,120,2019-fa,Russian & E Euro Folktales,,WCC,LA,,,
SLCL,200,2019-fa,Topics in Global Culture,,WCC,HP,,,
SOC,100,2019-fa,Introduction to Sociology,,,,,,SS
SOC,101,2019-fa,Sociology of Gender,,,,,,SS
SOC,122,2019-fa,Africa in World Perspective,,NW,,,,SS
SOC,130,2019-fa,Intro Gender & Women's Studies,,,,,,SS
SOC,160,2019-fa,Global Ineq and Social Change,,NW,,,,SS
SOC,161,2019-fa,Introduction to Poverty,,WCC,,,,SS
SOC,162,2019-fa,Intro to Intl Health Policy,,WCC,,,,SS
SOC,179,2019-fa,Social Organization,,,,,,SS
SOC,201,2019-fa,"Race, Gender & Power",,WCC,,,,
SOC,202,2019-fa,Sexualities,,WCC,,,,
SOC,221,2019-fa,Latina/o Migration,,US,,,,SS
SOC,222,2019-fa,Introduction to Modern Africa,,NW,,,,
SOC,224,2019-fa,Asian Am Historical Sociology,,US,,,,
SOC,225,2019-fa,Race and Ethnicity,,US,,,,SS
SOC,261,2019-fa,Gender in a Transnational Perspective,,,,,,SS
SOC,270,2019-fa,Global Demography,,,,,,SS
SOC,273,2019-fa,Social Perspectives on the Family,,,,,,SS
SOC,280,2019-fa,Intro to Social Statistics,,,,,QR1,
SOC,350,2019-fa,Technology and Society,,,,,,SS
SOC,366,2019-fa,Postsocialism Eastern Europe,,WCC,,,,SS
SOC,373,2019-fa,Social Inequality,,,,,,SS
SOC,380,2019-fa,Social Research Methods,,,,,QR2,
SOC,392,2019-fa,Chicanas&Latinas: Self&Society,ACP,,,,,
SOC,477,2019-fa,Law and Society- ACP,ACP,,,,,
SOC,488,2019-fa,Demographic Analysis,,,,,QR2,
SOCW,200,2019-fa,Introduction to Social Work,,,,,,SS
SOCW,225,2019-fa,Intro Stat for Social Work,,,,,QR1,
SOCW,240,2019-fa,Death & Dying,,,,,,SS
SOCW,297,2019-fa,Asian Families in America,,US,,,,SS
SOCW,300,2019-fa,Diversity: Identities & Issues,ACP,US,,,,
SPAN,232,2019-fa,Spanish in the Community,,US,,,,
SPAN,240,2019-fa,Latina/o Popular Culture,,US,,,,
SPAN,242,2019-fa,Intro to Latina/o Literature,,US,LA,,,
SPAN,246,2019-fa,Gender & Sexuality in Latina/o Literature,,US,LA,,,
SPAN,248,2019-fa,"Latin American Diaspora through Film: Beyond Braceros, Narcos, and Latin Lovers",,US,LA,,,
SPED,117,2019-fa,The Culture of Disability,,,HP,,,
SPED,322,2019-fa,Introduction to Intellectual Disability,,,,,,BSC
STAT,100,2019-fa,Statistics,,,,,QR1,
STAT,107,2019-fa,Data Science Discovery,,,,,QR1,
STAT,200,2019-fa,Statistical Analysis,,,,,QR1,
STAT,212,2019-fa,Biostatistics,,,,,QR1,
THEA,101,2019-fa,Introduction to Theatre Arts,,,LA,,,
THEA,102,2019-fa,Text to Stage,,,LA,,,
THEA,110,2019-fa,Broadway Musicals,,WCC,LA,,,
THEA,210,2019-fa,Introduction to Greek and Roman Theater,ACP,WCC,LA,,,
THEA,260,2019-fa,Intro Asian American Theatre,,US,,,,
THEA,262,2019-fa,Literature of Modern Theatre,ACP,,LA,,,
THEA,263,2019-fa,Intro African American Theat,,US,,,,
THEA,323,2019-fa,The Comic Imagination,ACP,WCC,LA,,,
TRST,201,2019-fa,Intro to Translation Studies,,,LA,,,
TSM,311,2019-fa,Humanity in the Food Web,ACP,,HP,,,
TURK,270,2019-fa,Language and Culture in Turkey,,NW,,,,
UKR,113,2019-fa,Ukrainian Culture,,WCC,LA,,,
UP,116,2019-fa,Urban Informatics I,,,,,QR1,
UP,136,2019-fa,Urban Sustainability,,,,,,SS
UP,185,2019-fa,Cities in a Global Perspective,,WCC,,,,SS
UP,205,2019-fa,Ecology & Environmental Sustainability,,,,LS,,
UP,210,2019-fa,Environmental Economics,,,,,,SS
UP,260,2019-fa,Social Inequality and Planning,,,,,,SS
UP,312,2019-fa,Communication for Planners,ACP,,,,,
UP,316,2019-fa,Urban Informatics II,,,,,QR2,
WRIT,303,2019-fa,Writing Across Media,ACP,,,,,
YDSH,220,2019-fa,Jewish Storytelling,,WCC,LA,,,
YDSH,320,2019-fa,Lit Responses to the Holocaust,,WCC,LA,,,
AAS,100,2018-fa,Intro Asian American Studies,,US,,,,SS
AAS,105,2018-fa,Introduction to Arab American Studies,,US,,,,
AAS,120,2018-fa,Intro to Asian Am Pop Culture,,US,,,,
AAS,200,2018-fa,U.S. Race and Empire,,US,HP,,,
AAS,201,2018-fa,US Racial & Ethnic Politics,,US,,,,SS
AAS,211,2018-fa,Asian Americans and the Arts,,US,LA,,,
AAS,215,2018-fa,US Citizenship Comparatively,,US,HP,,,
AAS,224,2018-fa,Asian Am Historical Sociology,,US,,,,
AAS,246,2018-fa,Asian American Youth in Film,,US,,,,SS
AAS,258,2018-fa,Muslims in America,,US,,,,SS
AAS,260,2018-fa,Intro Asian American Theatre,,US,,,,
AAS,281,2018-fa,Constructing Race in America,,US,HP,,,
AAS,283,2018-fa,Asian American History,,US,HP,,,
AAS,286,2018-fa,Asian American Literature,,US,LA,,,
AAS,287,2018-fa,Food and Asian Americans,,US,,,,SS
AAS,288,2018-fa,Global Islam and Feminisms,,NW,,,,
AAS,297,2018-fa,Asian Families in America,,US,,,,SS
AAS,300,2018-fa,"Theories of Race, Gender, and Sexuality",ACP,,,,,
AAS,310,2018-fa,Race and Cultural Diversity,ACP,US,,,,
AAS,402,2018-fa,Asian American Education,ACP,US,,,,
ABE,469,2018-fa,Industry-Linked Design Project,ACP,,,,,
ACE,100,2018-fa,Agr Cons and Resource Econ,,,,,,SS
ACE,210,2018-fa,Environmental Economics,,,,,,SS
ACE,251,2018-fa,The World Food Economy,,NW,,,,SS
ACE,254,2018-fa,Economic Systems in Africa,,NW,,,,SS
ACE,255,2018-fa,Economics of Food and Environmental Justice,,US,,,,SS
ACE,261,2018-fa,Applied Statistical Methods,,,,,QR1,
ACES,102,2018-fa,Intro Sustainable Food Systems,,,,LS,,
ACES,179,2018-fa,History of Ag in IL Since 1860,,US,HP,,,
ADV,476,2018-fa,Global Advertising,,WCC,,,,SS
AE,443,2018-fa,Aerospace Systems Design II,ACP,,,,,
AFAS,120,2018-fa,Intro to US Armed Forces,,,HP,,,
AFRO,100,2018-fa,Intro to African American St,,US,,,,SS
AFRO,101,2018-fa,"Black America, 1619-Present",,US,HP,,,
AFRO,103,2018-fa,Black Women in the Diaspora,,US,,,,
AFRO,105,2018-fa,Black Literature in America,,US,LA,,,
AFRO,106,2018-fa,Hist Arch Americas,,US,HP,,,
AFRO,132,2018-fa,African American Music,,US,LA,,,
AFRO,201,2018-fa,US Racial & Ethnic Politics,,US,,,,SS
AFRO,211,2018-fa,Intro to African-American Film,,US,,,,
AFRO,212,2018-fa,Intro African American Theat,,US,,,,
AFRO,215,2018-fa,US Citizenship Comparatively,,US,HP,,,
AFRO,221,2018-fa,History of the Prison,,WCC,HP,,,
AFRO,224,2018-fa,Humanist Persp of Afro-Am Exp,,US,LA,,,
AFRO,228,2018-fa,Hip Hop Music: History and Culture,,US,LA,,,
AFRO,231,2018-fa,Lang Diff Dis: American Persp,,US,,,,
AFRO,243,2018-fa,Pan Africanism,,NW,,,,SS
AFRO,250,2018-fa,Introduction to Health and Wellness in the Black Community,,US,,,,SS
AFRO,259,2018-fa,Afro-American Literature I,,US,,,,
AFRO,260,2018-fa,Afro-American Literature II,,US,,,,
AFRO,261,2018-fa,Intro to the African Diaspora,,US,HP,,,
AFRO,272,2018-fa,Minority Images in Amer Film,,US,LA,,,
AFRO,275,2018-fa,Afro-American History to 1877,,US,HP,,,
AFRO,276,2018-fa,Afro-American Hist Since 1877,,US,HP,,,
AFRO,281,2018-fa,Constructing Race in America,,US,HP,,,
AFRO,287,2018-fa,African-American Women,,US,HP,,,
AFRO,290,2018-fa,Af Am Urban Hist Since 1917,,US,HP,,,
AFRO,310,2018-fa,Race and Cultural Diversity,ACP,US,,,,
AFRO,340,2018-fa,Dancing Black Popular Culture,,US,HP,,,
AFRO,372,2018-fa,Class Politics & Blk Community,ACP,,,,,
AFRO,400,2018-fa,African Diasporic Lit Americas,,US,,,,
AFRO,460,2018-fa,Slavery in the United States,ACP,,,,,
AFRO,474,2018-fa,"Black Freed Move, 1955-Present",ACP,,,,,
AFST,103,2018-fa,Black Women in the Diaspora,,US,,,,
AFST,209,2018-fa,Constr Afr and Carib Identity,,NW,,,,
AFST,210,2018-fa,Intro to Mod African Lit,,NW,LA,,,
AFST,213,2018-fa,African Muslim Cultures,,NW,HP,,,
AFST,222,2018-fa,Introduction to Modern Africa,,NW,,,,
AFST,243,2018-fa,Pan Africanism,,NW,,,,SS
AFST,254,2018-fa,Economic Systems in Africa,,NW,,,,SS
AFST,266,2018-fa,African Film and Society,,NW,,,,
AFST,267,2018-fa,Memoirs of Africa,ACP,NW,,,,
AGCM,220,2018-fa,Communicating Agriculture,ACP,,,,,
AGCM,320,2018-fa,Public Information Campaigns,ACP,,,,,
AGED,230,2018-fa,Leadership Communications,ACP,,,,,SS
AGED,260,2018-fa,Intro to Leadership Studies,,,,,,SS
AGED,340,2018-fa,Leadership Ethics & Pluralism,,US,,,,
AGED,360,2018-fa,Advanced Leadership Studies,,,,,,SS
AIS,101,2018-fa,Intro to Amer Indian Studies,,US,HP,,,
AIS,102,2018-fa,Contemp Issues in Ind Country,,US,,,,SS
AIS,140,2018-fa,Native Religious Traditions,,US,HP,,,
AIS,165,2018-fa,Lang & Culture Native North Am,,NW,,,,
AIS,265,2018-fa,Intro to American Indian Lit,,US,LA,,,
AIS,275,2018-fa,Am Indian and Indigenous Film,,US,LA,,,
AIS,277,2018-fa,Encounters in Native America,,US,HP,,,
AIS,278,2018-fa,Native American History,,US,HP,,,
AIS,285,2018-fa,Indigenous Thinkers,,NW,HP,,,
AIS,288,2018-fa,American Indians of Illinois,,US,HP,,,
AIS,295,2018-fa,US Citizenship Comparatively,,US,HP,,,
ANSC,110,2018-fa,Life With Animals and Biotech,,,,LS,,
ANSC,205,2018-fa,World Animal Resources,ACP,,,,,
ANSC,207,2018-fa,Companion Animal Biology &Care,,,,LS,,
ANSC,250,2018-fa,Companion Animals in Society,,WCC,,,,
ANTH,101,2018-fa,Introduction to Anthropology,,WCC,,,,SS
ANTH,102,2018-fa,Human Origins and Culture,,,,,,SS
ANTH,103,2018-fa,Anthro in a Changing World,,NW,,,,SS
ANTH,104,2018-fa,Talking Culture,,,,,,SS
ANTH,105,2018-fa,World Archaeology,,,HP,,,
ANTH,106,2018-fa,Hist Arch Americas,,US,HP,,,
ANTH,108,2018-fa,Religion & Society in West I,,WCC,HP,,,
ANTH,109,2018-fa,Religion & Society in West II,,WCC,HP,,,
ANTH,130,2018-fa,History of South Asia,,NW,HP,,,
ANTH,143,2018-fa,Biology of Human Behavior,,,,LS,,
ANTH,157,2018-fa,The Archaeology of Illinois,,,HP,,,
ANTH,160,2018-fa,Contemporary Social Issues,,US,,,,
ANTH,165,2018-fa,Lang & Culture Native North Am,,NW,,,,
ANTH,175,2018-fa,Archaeology and Pop Culture,,,HP,,,
ANTH,180,2018-fa,The Archaeology of Death,,WCC,,,,SS
ANTH,182,2018-fa,Latin American Cultures,,NW,,,,SS
ANTH,209,2018-fa,"Food, Culture, and Society",,,,,,SS
ANTH,210,2018-fa,Families in Global Perspective,,NW,,,,SS
ANTH,222,2018-fa,Introduction to Modern Africa,,NW,,,,
ANTH,223,2018-fa,Exploring African Cities,,NW,HP,,,
ANTH,224,2018-fa,Tourist Cities and Sites,,,,,,SS
ANTH,225,2018-fa,Women in Prehistory,,,,,,SS
ANTH,241,2018-fa,Human Biological Variation,,,,LS,,
ANTH,246,2018-fa,Forensic Science,,,,LS,,
ANTH,249,2018-fa,Evolution and Human Disease,,,,LS,,
ANTH,250,2018-fa,The World Through Museums,,WCC,,,,SS
ANTH,261,2018-fa,Intro to the African Diaspora,,US,HP,,,
ANTH,262,2018-fa,Women's Lives,,,,,,SS
ANTH,266,2018-fa,African Film and Society,,NW,,,,
ANTH,267,2018-fa,Memoirs of Africa,ACP,NW,,,,
ANTH,268,2018-fa,Images of the Other,ACP,WCC,HP,,,
ANTH,271,2018-fa,Language in Culture-ACP,ACP,,,,,
ANTH,277,2018-fa,"Ancient Cities, Sacred Land",,WCC,,,,SS
ANTH,285,2018-fa,Intro to Korea Through Film,,NW,,,,
ANTH,286,2018-fa,Southeast Asian Civilizations,,NW,HP,,,
ANTH,288,2018-fa,American Indians of Illinois,,US,HP,,,
ANTH,290,2018-fa,Jewish Cultures of the World,,NW,,,,
ANTH,362,2018-fa,"Body, Personhood, and Culture",,,,,,SS
ANTH,376,2018-fa,Aztec Civilization,,NW,,,,
ANTH,393,2018-fa,The World of Jewish Sepharad,,WCC,HP,,,
ANTH,414,2018-fa,Writing Ethnography,ACP,,,,,
ARAB,150,2018-fa,Lang&Culture of Arab World,,NW,,,,
ARCH,222,2018-fa,Islamic Gardens & Architecture,,NW,HP,,,
ARCH,314,2018-fa,History of World Landscapes,ACP,WCC,HP,,,
ART,100,2018-fa,Understanding Visual Culture,,,LA,,,
ART,102,2018-fa,Drawing for Non-Majors,,,LA,,,
ART,103,2018-fa,Painting for Non-Majors,,,LA,,,
ART,104,2018-fa,Sculpture for Non-Majors,,,LA,,,
ART,105,2018-fa,Visual Design for Non-Majors,,,LA,,,
ART,140,2018-fa,Introduction to Art,,,LA,,,
ART,205,2018-fa,Experience & Meaning in Design,,WCC,,,,BSC
ART,208,2018-fa,Digital Art and Sustainability,,,LA,,,
ART,221,2018-fa,Visual Culture of Fandoms,,,LA,,,
ART,240,2018-fa,Learning Through Contemporary Art,,,LA,,,
ART,280,2018-fa,Exploring Visual Culture,,WCC,LA,,,
ART,310,2018-fa,Design Thinking,,,LA,,,
ART,350,2018-fa,Writing with Video,,WCC,LA,,,
ARTD,209,2018-fa,Chado (The Way of Tea),,NW,,,,
ARTD,240,2018-fa,eWaste: Sustainable Design,,,LA,,,
ARTH,110,2018-fa,Introduction to the History of Art and Visual Culture,,WCC,LA,,,
ARTH,111,2018-fa,Ancient to Medieval Art,,,LA,,,
ARTH,112,2018-fa,Renaissance to Modern Art,,,LA,,,
ARTH,113,2018-fa,Introduction to African Art,,NW,,,,
ARTH,114,2018-fa,Introduction to East Asian Art,,NW,,,,
ARTH,115,2018-fa,Art in a Global Context,,NW,LA,,,
ARTH,211,2018-fa,Design History Survey,,,LA,,,
ARTH,217,2018-fa,Development of Ancient Cities,,WCC,HP,,,
ARTH,241,2018-fa,"Modern Art, 1880-1940",,,LA,,,
ARTH,260,2018-fa,Graffiti and Murals,,WCC,LA,,,
ASST,104,2018-fa,Asian Mythology,,NW,HP,,,
ASST,208,2018-fa,Cultures & Literatures of South Asia,,NW,LA,,,
ASST,218,2018-fa,S Asian Cultural Landscapes,,NW,LA,,,
ASST,286,2018-fa,Southeast Asian Civilizations,,NW,HP,,,
ASTR,100,2018-fa,Introduction to Astronomy,,,,PS,,
ASTR,121,2018-fa,Solar System and Worlds Beyond,,,,PS,QR2,
ASTR,122,2018-fa,Stars and Galaxies,,,,PS,QR2,
ASTR,150,2018-fa,Killer Skies: Astro-Disasters,,,,PS,,
ASTR,210,2018-fa,Introduction to Astrophysics,,,,PS,,
ASTR,401,2018-fa,Scientific Writing for Astronomy,ACP,,,,,
ASTR,490,2018-fa,Senior Thesis,ACP,,,,,
ATMS,100,2018-fa,Introduction to Meteorology,,,,PS,,
ATMS,120,2018-fa,Severe and Hazardous Weather,,,,PS,QR2,
ATMS,140,2018-fa,Climate and Global Change,,,,PS,,
ATMS,322,2018-fa,Soc Impacts Weather & Climate,,,,,,SS
BCS,115,2018-fa,South Slavic Cultures,,NW,,,,SS
BCS,215,2018-fa,Yugoslavia and After,,WCC,,,,
BIOC,460,2018-fa,Biochemistry Senior Seminar,ACP,,,,,
BTW,250,2018-fa,Principles Bus Comm,ACP,,,,,
BTW,261,2018-fa,Principles Tech Comm,ACP,,,,,
BTW,263,2018-fa,Writing in the Disciplines,ACP,,,,,
CHBE,101,2018-fa,Hidden World of Engineering,,,,PS,,
CHBE,430,2018-fa,Unit Operations Laboratory,ACP,,,,,
CHBE,431,2018-fa,Process Design,ACP,,,,,
CHEM,101,2018-fa,Introductory Chemistry,,,,PS,,
CHEM,102,2018-fa,General Chemistry I,,,,PS,,
CHEM,103,2018-fa,General Chemistry Lab I,,,,PS,,
CHEM,104,2018-fa,General Chemistry II,,,,PS,,
CHEM,105,2018-fa,General Chemistry Lab II,,,,PS,,
CHEM,108,2018-fa,"Chemistry, Everyday Phenomena",,,,PS,,
CHEM,202,2018-fa,Accelerated Chemistry I,,,,PS,,
CHEM,204,2018-fa,Accelerated Chemistry II,,,,PS,,
CHEM,317,2018-fa,Inorganic Chemistry Lab,ACP,,,,,
CHEM,437,2018-fa,Organic Chemistry Lab,ACP,,,,,
CHLH,100,2018-fa,Contemporary Health,,,,,,SS
CHLH,101,2018-fa,Introduction to Public Health,,,,,,SS
CHLH,244,2018-fa,Health Statistics,,,,,QR1,
CHLH,260,2018-fa,Introduction to Medical Ethics,,,HP,,,
CHLH,274,2018-fa,Introduction to Epidemiology,,,,,QR1,
CHLH,304,2018-fa,Foundations of Health Behavior,ACP,,,,,BSC
CHLH,330,2018-fa,Disability in American Society,,,,,,SS
